tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
1/1/2018,P. MUARA ANGKE,12,32,1370,7783
1/2/2018,P. MUARA ANGKE,15,14,841,2303
1/3/2018,P. MUARA ANGKE,13,6,1013,981
1/4/2018,P. MUARA ANGKE,7,10,811,1092
1/5/2018,P. MUARA ANGKE,12,13,1017,763
1/6/2018,P. MUARA ANGKE,18,7,2794,678
1/7/2018,P. MUARA ANGKE,9,13,872,2167
1/8/2018,P. MUARA ANGKE,5,6,278,376
1/9/2018,P. MUARA ANGKE,4,5,315,238
1/10/2018,P. MUARA ANGKE,5,6,301,245
1/11/2018,P. MUARA ANGKE,4,5,307,268
1/12/2018,P. MUARA ANGKE,6,11,622,442
1/13/2018,P. MUARA ANGKE,17,7,2156,365
1/14/2018,P. MUARA ANGKE,7,16,478,2017
1/15/2018,P. MUARA ANGKE,11,7,740,370
1/16/2018,P. MUARA ANGKE,7,8,621,531
1/17/2018,P. MUARA ANGKE,6,6,312,430
1/18/2018,P. MUARA ANGKE,7,7,472,376
1/19/2018,P. MUARA ANGKE,6,9,444,532
1/20/2018,P. MUARA ANGKE,15,5,1844,279
1/21/2018,P. MUARA ANGKE,6,12,450,1714
1/22/2018,P. MUARA ANGKE,10,4,544,265
1/23/2018,P. MUARA ANGKE,6,6,356,416
1/24/2018,P. MUARA ANGKE,6,4,319,406
1/25/2018,P. MUARA ANGKE,4,6,202,475
1/26/2018,P. MUARA ANGKE,7,10,491,322
1/27/2018,P. MUARA ANGKE,19,11,2531,393
1/28/2018,P. MUARA ANGKE,6,14,389,2170
1/29/2018,P. MUARA ANGKE,12,8,471,388
1/30/2018,P. MUARA ANGKE,9,8,254,250
1/31/2018,P. MUARA ANGKE,6,5,225,235
1/1/2018,MARINA/ANCOL,12,1,561,15
1/2/2018,MARINA/ANCOL,4,6,362,409
1/3/2018,MARINA/ANCOL,3,4,282,2890
1/4/2018,MARINA/ANCOL,3,4,256,294
1/5/2018,MARINA/ANCOL,6,6,479,265
1/6/2018,MARINA/ANCOL,3,6,573,493
1/7/2018,MARINA/ANCOL,5,6,463,701
1/8/2018,MARINA/ANCOL,4,4,275,174
1/9/2018,MARINA/ANCOL,3,3,205,258
1/10/2018,MARINA/ANCOL,3,4,3,214
1/11/2018,MARINA/ANCOL,1,1,3,3
1/12/2018,MARINA/ANCOL,2,3,11,26
1/13/2018,MARINA/ANCOL,1,1,9,11
1/14/2018,MARINA/ANCOL,8,4,1123,127
1/15/2018,MARINA/ANCOL,4,1,142,167
1/16/2018,MARINA/ANCOL,4,1,337,541
1/17/2018,MARINA/ANCOL,7,7,160,141
1/18/2018,MARINA/ANCOL,6,5,293,324
1/19/2018,MARINA/ANCOL,3,2,94,53
1/20/2018,MARINA/ANCOL,18,18,1259,640
1/21/2018,MARINA/ANCOL,14,14,343,656
1/22/2018,MARINA/ANCOL,7,7,187,155
1/23/2018,MARINA/ANCOL,3,3,150,162
1/24/2018,MARINA/ANCOL,11,11,292,328
1/25/2018,MARINA/ANCOL,2,2,127,112
1/26/2018,MARINA/ANCOL,2,2,109,125
1/27/2018,MARINA/ANCOL,18,17,981,593
1/28/2018,MARINA/ANCOL,16,16,271,768
1/29/2018,MARINA/ANCOL,6,6,271,277
1/30/2018,MARINA/ANCOL,10,10,223,207
1/31/2018,MARINA/ANCOL,2,2,142,140
1/1/2018,UNTUNG/JAWA,7,19,686,787
1/2/2018,UNTUNG/JAWA,5,7,222,208
1/3/2018,UNTUNG/JAWA,7,7,246,209
